campaign_id,customer_id,exposed_flag,holdout_flag,converted_flag,revenue_in_window,segment_name,lifecycle,loyalty_tier,region,baseline_buy_prob_daily
C001,2,1,0,1,15.89,Lapsed | Bronze,Lapsed,Bronze,East,0.012176415610129
C001,3,1,0,1,25.85,Warm | Bronze,Warm,Bronze,South,0.0098833457794578
C001,4,1,0,0,0.0,Warm | Gold,Warm,Gold,East,0.0182600258076723
C001,5,0,1,0,0.0,Lapsed | Silver,Lapsed,Silver,East,0.0137678510555787
C001,7,1,0,0,0.0,Lapsed | Silver,Lapsed,Silver,South,0.0112765692359337
C001,19,1,0,0,0.0,Lapsed | Bronze,Lapsed,Bronze,East,0.0111945205699397
C001,23,1,0,1,10.17,Lapsed | Gold,Lapsed,Gold,North,0.017377083197537
C001,32,1,0,0,0.0,Warm | Silver,Warm,Silver,North,0.0135230484008659
C001,36,1,0,1,22.4,New | Gold,New,Gold,West,0.0137783339190508
C001,37,0,1,1,14.65,Warm | Bronze,Warm,Bronze,South,0.0097832885502578
C001,40,1,0,0,0.0,Lapsed | Silver,Lapsed,Silver,South,0.015706370340584
C001,44,1,0,0,0.0,Warm | Silver,Warm,Silver,West,0.0167266334335475
C001,45,1,0,1,18.46,New | Bronze,New,Bronze,South,0.0072312518043426
C001,52,1,0,1,30.28,Lapsed | Bronze,Lapsed,Bronze,North,0.00947295538565
C001,53,0,1,0,0.0,Warm | Silver,Warm,Silver,East,0.0128466793175799
C001,55,1,0,1,31.61,Warm | Gold,Warm,Gold,East,0.0188852061635317
C001,56,1,0,0,0.0,New | Bronze,New,Bronze,South,0.0048070085786812
C001,58,1,0,0,0.0,Lapsed | Bronze,Lapsed,Bronze,East,0.0091819237251852
C001,62,1,0,0,0.0,Lapsed | Bronze,Lapsed,Bronze,West,0.0122997213307886
C001,65,1,0,0,0.0,Lapsed | Bronze,Lapsed,Bronze,South,0.009226988947484
C001,69,1,0,0,0.0,Lapsed | Platinum,Lapsed,Platinum,North,0.0182308328566414
C001,70,1,0,0,0.0,Lapsed | Silver,Lapsed,Silver,North,0.0141205502810414
C001,78,1,0,0,0.0,Lapsed | Platinum,Lapsed,Platinum,East,0.0177305658429027
C001,79,0,1,0,0.0,Lapsed | Bronze,Lapsed,Bronze,East,0.0114197856381078
C001,80,1,0,1,7.51,Warm | Silver,Warm,Silver,North,0.0150419216266808
C001,83,1,0,0,0.0,Warm | Silver,Warm,Silver,West,0.0164928612480505
C001,99,1,0,1,43.48,Warm | Silver,Warm,Silver,South,0.0163130369448279
C001,103,1,0,0,0.0,Warm | Gold,Warm,Gold,North,0.0233375742606656
C001,104,0,1,0,0.0,New | Bronze,New,Bronze,North,0.0044559807277946
C001,107,1,0,0,0.0,Warm | Silver,Warm,Silver,South,0.0150671778263236
C001,112,1,0,0,0.0,Lapsed | Bronze,Lapsed,Bronze,North,0.0138855627785327
C001,113,1,0,0,0.0,Lapsed | Bronze,Lapsed,Bronze,North,0.0158661471893136
C001,115,1,0,0,0.0,Warm | Bronze,Warm,Bronze,South,0.0136792197962876
C001,116,1,0,1,29.3,Lapsed | Gold,Lapsed,Gold,North,0.0208128160127372
C001,118,1,0,1,28.9,Lapsed | Silver,Lapsed,Silver,East,0.0109771063098393
C001,127,1,0,0,0.0,Lapsed | Silver,Lapsed,Silver,East,0.0143647021473363
C001,133,1,0,0,0.0,Lapsed | Gold,Lapsed,Gold,East,0.0105623050465333
C001,134,1,0,1,18.41,Warm | Bronze,Warm,Bronze,West,0.0121868675583351
C001,136,1,0,0,0.0,Lapsed | Silver,Lapsed,Silver,South,0.0126770495754543
C001,138,1,0,0,0.0,New | Gold,New,Gold,North,0.012717971017337
C001,140,1,0,0,0.0,Lapsed | Silver,Lapsed,Silver,West,0.0177794524219327
C001,145,1,0,0,0.0,Lapsed | Bronze,Lapsed,Bronze,West,0.012754116089039
C001,147,1,0,1,28.02,New | Bronze,New,Bronze,East,0.0067745441730008
C001,154,1,0,0,0.0,Lapsed | Silver,Lapsed,Silver,West,0.0109777586907559
