customer_id,signup_date,tenure_days,loyalty_tier,region,channel_pref,consent_email,consent_sms,baseline_buy_prob_daily,lifecycle
1,2024-12-14,107,Silver,North,Push,1,1,0.007857907246875285,Warm
2,2023-04-28,703,Bronze,East,Push,1,1,0.012176415610129067,Lapsed
3,2023-08-10,599,Bronze,South,Email,1,1,0.009883345779457816,Warm
4,2024-02-14,411,Gold,East,Push,1,0,0.018260025807672327,Warm
5,2024-02-19,406,Silver,East,Email,1,1,0.013767851055578782,Lapsed
6,2023-02-14,776,Bronze,West,Push,0,1,0.013340279224524002,Active
7,2024-12-17,104,Silver,South,Email,1,0,0.011276569235933712,Lapsed
8,2023-07-04,636,Silver,South,SMS,1,0,0.008290318307952616,Lapsed
9,2024-09-07,205,Gold,North,Email,1,0,0.01190547548379463,Warm
10,2024-12-10,111,Silver,South,Email,1,0,0.012472626053676703,Warm
11,2023-11-29,488,Bronze,West,Email,1,1,0.012017632987280378,Lapsed
12,2022-11-04,878,Bronze,North,Email,1,1,0.011496244726911613,Warm
13,2023-05-31,670,Bronze,West,SMS,1,1,0.011628134110786167,Active
14,2023-05-09,692,Silver,North,Email,1,1,0.016432197293113272,Lapsed
15,2023-06-16,654,Silver,West,Email,1,1,0.015779256686530747,Warm
16,2023-04-18,713,Silver,East,Email,0,0,0.016827965056306366,Active
17,2023-12-11,476,Silver,West,Email,1,1,0.013275740311701477,Warm
18,2024-11-10,141,Bronze,East,Email,1,0,0.007661826370755804,Lapsed
19,2023-03-02,760,Bronze,East,SMS,1,1,0.011194520569939727,Lapsed
20,2024-02-04,421,Bronze,North,Email,1,1,0.011549816020337066,Lapsed
21,2023-12-22,465,Bronze,South,Email,1,0,0.010112919408381434,Warm
22,2024-04-13,352,Silver,West,Email,1,0,0.013626440041472988,Lapsed
23,2024-09-24,188,Gold,North,SMS,1,1,0.01737708319753704,Lapsed
24,2022-12-16,836,Bronze,West,Email,1,1,0.01362810299868502,Lapsed
25,2023-04-22,709,Silver,South,SMS,1,0,0.015089428672092934,Active
26,2023-08-19,590,Bronze,South,SMS,1,1,0.008245918900648025,Lapsed
27,2024-03-16,380,Silver,East,Email,1,0,0.01312991127977303,Lapsed
28,2023-03-17,745,Bronze,North,Push,1,1,0.008622764419194583,Lapsed
29,2023-11-13,504,Silver,East,Email,1,0,0.016576226260484307,Lapsed
30,2024-02-10,415,Bronze,West,SMS,1,1,0.010354487155692448,Warm
31,2024-02-04,421,Bronze,North,Email,1,1,0.013212058663339292,Lapsed
32,2024-08-16,227,Silver,North,SMS,1,0,0.01352304840086592,Warm
33,2024-12-11,110,Bronze,North,Email,1,0,0.009378187859836904,Warm
34,2023-11-05,512,Silver,East,Email,1,1,0.012795236825984518,Lapsed
35,2023-01-19,802,Bronze,East,Push,1,1,0.009438868711891174,Lapsed
36,2025-01-05,85,Gold,West,SMS,1,0,0.013778333919050865,New
37,2023-02-14,776,Bronze,South,SMS,1,1,0.009783288550257879,Warm
38,2023-03-12,750,Silver,North,Push,0,1,0.015547236988870854,Lapsed
39,2024-07-04,270,Gold,North,Email,1,1,0.015615123332101766,Lapsed
40,2023-08-30,579,Silver,South,SMS,1,0,0.015706370340584093,Lapsed
41,2024-10-09,173,Bronze,East,Email,1,1,0.008209002126645878,Warm
42,2023-05-12,689,Silver,West,Push,1,0,0.01768484845772012,Lapsed
43,2023-07-01,639,Bronze,North,Email,1,0,0.009020573546621464,Warm
44,2024-04-27,338,Silver,West,SMS,1,1,0.016726633433547543,Warm
45,2025-01-01,89,Bronze,South,Email,1,1,0.007231251804342684,New
46,2022-11-08,874,Silver,West,Email,1,0,0.013998477250427584,Lapsed
47,2024-02-08,417,Gold,West,SMS,1,1,0.01885681677001442,Lapsed
48,2023-01-14,807,Bronze,West,Email,1,1,0.009860916020144371,Warm
49,2023-07-21,619,Bronze,South,Email,1,1,0.01022573454659673,Lapsed
50,2023-04-24,707,Bronze,South,SMS,1,1,0.012859217629011486,Active
51,2023-05-10,691,Silver,North,Email,1,1,0.015506866762152915,Lapsed
52,2024-09-13,199,Bronze,North,Email,1,1,0.009472955385650088,Lapsed
53,2024-04-19,346,Silver,East,SMS,1,0,0.012846679317579985,Warm
54,2024-01-20,436,Silver,West,Email,1,0,0.014480213905259847,Lapsed
55,2023-12-24,463,Gold,East,Email,1,0,0.018885206163531718,Warm
56,2025-01-22,68,Bronze,South,Email,1,0,0.004807008578681247,New
57,2023-11-12,505,Bronze,North,Email,1,0,0.015506836204809709,Lapsed
58,2024-10-18,164,Bronze,East,Email,1,1,0.009181923725185236,Lapsed
59,2023-05-25,676,Silver,North,SMS,1,1,0.019720392758259753,Lapsed
60,2023-07-16,624,Bronze,North,Email,1,1,0.0131789221667268,Warm
61,2022-12-20,832,Bronze,North,Push,1,1,0.008344507720012502,Lapsed
62,2023-05-24,677,Bronze,West,Email,1,1,0.012299721330788655,Lapsed
63,2024-04-17,348,Silver,South,Push,1,1,0.012924894749494655,Lapsed
64,2022-11-11,871,Gold,West,Email,1,1,0.020159003379811153,Lapsed
65,2024-03-09,387,Bronze,South,SMS,1,0,0.009226988947484025,Lapsed
66,2024-05-22,313,Bronze,East,Push,1,1,0.012384530123839794,Lapsed
67,2023-01-04,817,Bronze,West,Email,0,1,0.00932340712752763,Warm
68,2024-04-13,352,Bronze,West,Push,1,1,0.009755788208219417,Warm
69,2024-12-25,96,Platinum,North,Email,1,0,0.01823083285664149,Lapsed
70,2024-01-18,438,Silver,North,Email,1,0,0.014120550281041451,Lapsed
71,2023-04-09,722,Silver,North,Push,1,0,0.016528043205604675,Lapsed
72,2024-09-18,194,Gold,South,Email,0,0,0.017047473014042032,Lapsed
73,2024-01-24,432,Silver,North,Email,0,0,0.01657020606125586,Lapsed
74,2024-11-08,143,Bronze,East,Email,1,1,0.004469091520394113,Lapsed
75,2023-07-13,627,Silver,South,Push,1,1,0.013083794426201506,Lapsed
76,2024-01-13,443,Bronze,West,SMS,0,0,0.009310591741008963,Lapsed
77,2024-05-18,317,Bronze,West,Email,1,1,0.011274651144413641,Lapsed
78,2024-08-16,227,Platinum,East,Email,1,0,0.01773056584290279,Lapsed
79,2023-10-27,521,Bronze,East,Email,1,1,0.011419785638107818,Lapsed
80,2023-07-28,612,Silver,North,SMS,1,1,0.015041921626680842,Warm
81,2022-12-04,848,Bronze,North,Email,1,0,0.011611737422713613,Lapsed
82,2024-02-15,410,Bronze,South,Email,1,0,0.013637218369568228,Active
83,2024-10-13,169,Silver,West,SMS,0,0,0.01649286124805054,Warm
84,2023-03-08,754,Silver,North,Email,1,0,0.016692414931185656,Warm
85,2023-09-01,577,Silver,South,Email,1,1,0.012600107723311839,Warm
86,2023-07-01,639,Bronze,West,SMS,1,0,0.012010753967405542,Warm
87,2024-12-07,114,Bronze,South,SMS,0,0,0.010750611392286214,Lapsed
88,2024-06-03,301,Silver,West,Email,1,0,0.013900672378927384,Warm
89,2023-05-03,698,Silver,West,SMS,1,1,0.012357873226702482,Warm
90,2023-03-08,754,Silver,North,Email,1,0,0.015828093512632885,Warm
91,2024-02-17,408,Silver,East,SMS,1,0,0.011706674748412804,Warm
92,2023-04-01,730,Gold,North,Email,1,1,0.019355707704913884,Lapsed
93,2023-02-28,762,Gold,South,Email,1,0,0.018987045813517102,Lapsed
94,2024-03-29,367,Bronze,West,Email,0,1,0.00874447591762585,Warm
95,2023-01-10,811,Silver,North,Email,1,0,0.017115383154374594,Lapsed
96,2024-06-24,280,Silver,West,Email,1,1,0.015045102306507867,Lapsed
97,2024-08-05,238,Gold,West,Email,1,1,0.014101169985942871,Lapsed
98,2023-07-17,623,Bronze,East,Push,1,0,0.01327136476471293,Warm
99,2023-08-26,583,Silver,South,Email,1,0,0.016313036944827972,Warm
100,2024-10-31,151,Bronze,North,SMS,1,1,0.008998049345184212,Warm
101,2023-03-08,754,Silver,South,SMS,1,1,0.015270217836792548,Warm
102,2024-09-09,203,Gold,North,Email,1,0,0.01779939255198961,Lapsed
103,2023-04-01,730,Gold,North,Email,1,1,0.023337574260665635,Warm
104,2025-02-23,36,Bronze,North,Email,1,0,0.004455980727794684,New
105,2023-04-08,723,Bronze,East,Email,1,1,0.01316758985389724,Lapsed
106,2023-04-17,714,Silver,North,Push,1,1,0.0184019328597565,Warm
107,2023-04-23,708,Silver,South,Email,1,1,0.015067177826323653,Warm
108,2023-08-01,608,Gold,East,Email,1,0,0.02195000173943762,Lapsed
109,2024-01-16,440,Bronze,North,Email,1,0,0.0074183714561765176,Warm
110,2023-06-27,643,Gold,South,Email,1,0,0.02094809129005391,Lapsed
111,2024-07-03,271,Silver,North,Email,1,1,0.01101823511698359,Lapsed
112,2023-04-22,709,Bronze,North,Push,1,0,0.013885562778532786,Lapsed
113,2023-11-04,513,Bronze,North,Email,1,1,0.01586614718931365,Lapsed
114,2024-01-27,429,Silver,North,Email,1,1,0.018664871429570566,Active
115,2023-12-18,469,Bronze,South,Email,1,1,0.01367921979628763,Warm
116,2023-10-24,524,Gold,North,Email,1,1,0.020812816012737254,Lapsed
117,2025-01-28,62,Silver,South,SMS,0,1,0.012134845756063195,New
118,2024-10-31,151,Silver,East,Push,1,1,0.010977106309839337,Lapsed
119,2024-07-31,243,Bronze,East,Email,1,1,0.012081003243549096,Lapsed
120,2024-11-22,129,Platinum,South,Email,1,1,0.017174676851263084,Warm
121,2024-02-13,412,Silver,West,SMS,1,0,0.009897269213851125,Warm
122,2023-07-29,611,Silver,West,Email,1,1,0.01738327569853576,Warm
123,2023-08-10,599,Silver,East,Email,1,1,0.012334442163028033,Warm
