txn_id,customer_id,txn_ts,store_id,channel,gross_revenue,items_count
T0000000001,92,2025-01-01 09:10:00,19,Store,22.84,1
T0000000002,103,2025-01-01 12:08:00,15,Store,20.36,3
T0000000003,210,2025-01-01 20:26:00,60,Store,27.55,2
T0000000004,265,2025-01-01 19:43:00,38,Store,48.23,5
T0000000005,272,2025-01-01 09:15:00,56,Store,24.18,3
T0000000006,277,2025-01-01 14:13:00,66,Store,18.57,3
T0000000007,295,2025-01-01 08:26:00,12,Online,21.0,2
T0000000008,432,2025-01-01 19:41:00,1,Store,25.33,2
T0000000009,489,2025-01-01 10:23:00,97,Store,8.34,1
T0000000010,528,2025-01-01 14:19:00,8,Online,20.87,2
T0000000011,572,2025-01-01 10:01:00,93,Store,9.33,3
T0000000012,715,2025-01-01 17:52:00,93,Store,59.88,7
T0000000013,722,2025-01-01 08:56:00,24,Store,25.03,2
T0000000014,779,2025-01-01 16:12:00,52,Store,20.18,2
T0000000015,788,2025-01-01 18:30:00,5,Store,16.7,2
T0000000016,834,2025-01-01 13:59:00,86,Online,18.66,3
T0000000017,834,2025-01-01 18:08:00,14,Online,11.15,1
T0000000018,927,2025-01-01 16:34:00,12,Store,40.26,3
T0000000019,990,2025-01-01 15:49:00,50,Store,12.5,1
T0000000020,1015,2025-01-01 11:43:00,90,Store,17.13,2
T0000000021,1075,2025-01-01 11:14:00,4,Store,15.35,1
T0000000022,1141,2025-01-01 16:26:00,33,Store,15.59,2
T0000000023,1145,2025-01-01 17:17:00,26,Store,41.2,3
T0000000024,1145,2025-01-01 12:34:00,97,Store,22.61,3
T0000000025,1194,2025-01-01 20:30:00,75,Store,32.29,4
T0000000026,1221,2025-01-01 13:37:00,116,Store,18.89,4
T0000000027,1238,2025-01-01 14:07:00,16,Store,24.3,2
T0000000028,1250,2025-01-01 18:30:00,104,Store,21.38,3
T0000000029,1274,2025-01-01 14:20:00,82,Online,43.65,6
T0000000030,1292,2025-01-01 14:27:00,101,Store,11.33,3
T0000000031,1490,2025-01-01 08:29:00,52,Store,21.79,4
T0000000032,1571,2025-01-01 17:23:00,56,Store,23.59,2
T0000000033,1746,2025-01-01 08:30:00,38,Store,56.46,9
T0000000034,1815,2025-01-01 09:42:00,19,Store,25.76,3
T0000000035,1889,2025-01-01 11:38:00,11,Store,76.61,9
T0000000036,1895,2025-01-01 18:29:00,64,Store,47.4,5
T0000000037,1917,2025-01-01 18:44:00,74,Store,13.74,4
T0000000038,2236,2025-01-01 08:12:00,40,Store,9.37,1
T0000000039,2430,2025-01-01 14:29:00,12,Store,24.27,5
T0000000040,2520,2025-01-01 13:50:00,106,Store,8.33,1
T0000000041,2520,2025-01-01 15:01:00,118,Store,14.43,2
T0000000042,2528,2025-01-01 13:47:00,51,Online,31.65,3
T0000000043,2530,2025-01-01 17:55:00,2,Store,24.08,2
T0000000044,2695,2025-01-01 12:05:00,68,Online,42.23,5
T0000000045,2782,2025-01-01 08:32:00,2,Store,28.48,5
T0000000046,2782,2025-01-01 14:01:00,112,Store,12.83,3
T0000000047,2943,2025-01-01 10:26:00,43,Online,19.68,4
T0000000048,2974,2025-01-01 14:55:00,115,Store,29.93,5
T0000000049,3029,2025-01-01 18:19:00,27,Online,13.71,1
T0000000050,3114,2025-01-01 17:08:00,37,Store,17.04,1
T0000000051,3188,2025-01-01 20:44:00,43,Store,5.13,1
T0000000052,3230,2025-01-01 08:38:00,70,Store,20.83,2
T0000000053,3344,2025-01-01 13:41:00,64,Store,19.05,2
T0000000054,3422,2025-01-01 17:46:00,119,Store,9.41,1
T0000000055,3425,2025-01-01 19:05:00,100,Store,13.23,1
T0000000056,3456,2025-01-01 08:56:00,55,Store,24.94,2
T0000000057,3544,2025-01-01 12:03:00,3,Store,11.22,1
T0000000058,3587,2025-01-01 14:04:00,91,Store,9.51,1
T0000000059,3692,2025-01-01 16:38:00,2,Store,12.98,1
T0000000060,3737,2025-01-01 17:41:00,91,Store,101.17,13
T0000000061,3737,2025-01-01 15:23:00,56,Store,6.58,1
T0000000062,3792,2025-01-01 18:31:00,32,Store,45.12,7
T0000000063,3806,2025-01-01 12:18:00,30,Online,10.56,1
T0000000064,3881,2025-01-01 19:02:00,97,Store,67.15,7
T0000000065,3881,2025-01-01 11:29:00,41,Store,13.1,1
T0000000066,4021,2025-01-01 16:59:00,91,Store,16.63,2
T0000000067,4035,2025-01-01 17:26:00,69,Store,35.56,4
T0000000068,4128,2025-01-01 18:10:00,40,Store,44.71,5
T0000000069,4196,2025-01-01 12:29:00,35,Store,4.88,1
T0000000070,4205,2025-01-01 19:44:00,110,Online,31.09,5
T0000000071,4236,2025-01-01 10:38:00,21,Store,37.09,4
T0000000072,4317,2025-01-01 16:46:00,40,Store,11.48,1
T0000000073,4337,2025-01-01 09:52:00,85,Store,40.42,6
T0000000074,4353,2025-01-01 08:56:00,99,Store,23.13,3
T0000000075,4404,2025-01-01 13:04:00,62,Online,45.47,4
T0000000076,4404,2025-01-01 18:31:00,80,Store,13.53,3
T0000000077,4498,2025-01-01 12:59:00,50,Store,6.0,1
T0000000078,4616,2025-01-01 18:35:00,117,Store,37.04,4
T0000000079,4932,2025-01-01 10:05:00,31,Store,26.6,4
T0000000080,4951,2025-01-01 12:24:00,119,Store,6.99,1
T0000000081,5184,2025-01-01 14:38:00,32,Store,30.38,2
T0000000082,5184,2025-01-01 15:23:00,84,Online,30.1,3
T0000000083,5253,2025-01-01 14:50:00,44,Store,16.59,3
T0000000084,5253,2025-01-01 12:48:00,77,Store,17.68,4
T0000000085,5408,2025-01-01 11:02:00,99,Store,47.03,5
T0000000086,5461,2025-01-01 16:32:00,98,Store,26.09,4
T0000000087,5534,2025-01-01 08:15:00,97,Store,49.25,6
T0000000088,5632,2025-01-01 15:59:00,74,Store,11.39,1
T0000000089,5869,2025-01-01 10:35:00,67,Store,16.5,2
T0000000090,5927,2025-01-01 18:41:00,67,Store,23.1,4
T0000000091,5953,2025-01-01 15:52:00,69,Online,32.25,3
T0000000092,6121,2025-01-01 14:56:00,100,Store,12.49,2
T0000000093,6121,2025-01-01 10:50:00,117,Store,18.34,3
T0000000094,6138,2025-01-01 10:02:00,37,Store,12.7,1
T0000000095,6158,2025-01-01 17:19:00,42,Store,8.25,2
T0000000096,6222,2025-01-01 10:21:00,15,Store,46.9,5
T0000000097,6224,2025-01-01 14:55:00,43,Store,19.56,3
T0000000098,6224,2025-01-01 11:50:00,27,Store,14.52,5
T0000000099,6240,2025-01-01 14:25:00,19,Store,32.6,5
T0000000100,6282,2025-01-01 15:46:00,103,Store,19.69,2
T0000000101,6345,2025-01-01 10:29:00,1,Store,53.22,5
T0000000102,6356,2025-01-01 14:10:00,93,Online,26.18,3
T0000000103,6421,2025-01-01 19:16:00,97,Store,57.25,7
T0000000104,6484,2025-01-01 20:09:00,36,Online,74.64,10
T0000000105,6562,2025-01-01 16:58:00,38,Store,35.54,5
T0000000106,6593,2025-01-01 15:43:00,96,Store,19.12,1
T0000000107,6593,2025-01-01 18:30:00,19,Online,20.76,3
T0000000108,6604,2025-01-01 20:18:00,70,Store,21.82,3
T0000000109,6703,2025-01-01 15:24:00,37,Store,44.79,5
T0000000110,6740,2025-01-01 18:20:00,74,Store,12.42,1
T0000000111,6808,2025-01-01 09:16:00,27,Store,13.73,2
T0000000112,6824,2025-01-01 12:22:00,18,Online,15.57,2
T0000000113,6918,2025-01-01 18:20:00,24,Online,26.27,3
T0000000114,6935,2025-01-01 11:41:00,22,Online,23.68,3
T0000000115,6949,2025-01-01 19:55:00,118,Store,20.27,2
T0000000116,6949,2025-01-01 17:35:00,8,Store,15.31,1
T0000000117,6986,2025-01-01 14:35:00,47,Store,33.47,3
T0000000118,7009,2025-01-01 16:38:00,94,Store,21.9,2
T0000000119,7165,2025-01-01 17:59:00,117,Store,21.8,4
T0000000120,7165,2025-01-01 08:26:00,95,Online,17.69,2
T0000000121,7259,2025-01-01 16:40:00,18,Store,12.92,3
T0000000122,7297,2025-01-01 17:15:00,115,Online,38.04,5
T0000000123,7297,2025-01-01 16:08:00,27,Online,19.46,2
T0000000124,7575,2025-01-01 09:54:00,81,Store,19.5,1
T0000000125,7590,2025-01-01 18:41:00,9,Store,14.7,2
T0000000126,7649,2025-01-01 19:12:00,33,Store,13.22,1
T0000000127,7649,2025-01-01 09:13:00,70,Store,69.53,9
T0000000128,7734,2025-01-01 17:32:00,103,Store,12.33,2
T0000000129,7826,2025-01-01 17:27:00,91,Store,69.6,7
T0000000130,7847,2025-01-01 11:55:00,106,Online,12.69,1
T0000000131,7866,2025-01-01 08:34:00,90,Store,6.79,1
T0000000132,7998,2025-01-01 11:17:00,7,Store,28.68,3
T0000000133,8068,2025-01-01 11:15:00,91,Store,28.46,2
T0000000134,8115,2025-01-01 15:44:00,93,Online,23.15,1
T0000000135,8123,2025-01-01 19:45:00,4,Online,7.5,1
T0000000136,8183,2025-01-01 11:09:00,115,Store,12.91,3
T0000000137,8533,2025-01-01 10:25:00,12,Store,23.02,4
T0000000138,8545,2025-01-01 15:58:00,30,Online,8.5,2
T0000000139,8623,2025-01-01 14:07:00,39,Online,9.99,2
T0000000140,8623,2025-01-01 08:42:00,7,Store,30.57,4
T0000000141,8833,2025-01-01 09:39:00,31,Store,46.67,6
T0000000142,8833,2025-01-01 10:13:00,115,Store,15.74,1
T0000000143,8846,2025-01-01 18:49:00,22,Store,7.38,2
T0000000144,8932,2025-01-01 16:14:00,7,Store,9.29,2
T0000000145,9052,2025-01-01 08:00:00,64,Store,26.93,3
T0000000146,9052,2025-01-01 10:08:00,40,Store,12.79,2
T0000000147,9070,2025-01-01 17:34:00,60,Store,37.84,6
T0000000148,9070,2025-01-01 17:21:00,67,Online,50.91,6
T0000000149,9150,2025-01-01 13:50:00,109,Online,26.65,4
T0000000150,9150,2025-01-01 08:06:00,95,Store,19.1,4
T0000000151,9155,2025-01-01 19:30:00,38,Online,20.42,3
T0000000152,9189,2025-01-01 18:24:00,36,Store,9.51,1
T0000000153,9362,2025-01-01 20:42:00,76,Store,33.87,3
T0000000154,9507,2025-01-01 17:13:00,96,Store,15.8,4
T0000000155,9509,2025-01-01 14:31:00,10,Store,27.05,4
T0000000156,9656,2025-01-01 09:39:00,34,Store,8.21,2
T0000000157,9726,2025-01-01 12:55:00,99,Online,9.17,1
T0000000158,9768,2025-01-01 11:19:00,2,Online,29.55,3
T0000000159,9844,2025-01-01 13:02:00,68,Store,20.73,2
T0000000160,9968,2025-01-01 09:38:00,45,Store,13.21,1
T0000000161,10019,2025-01-01 11:50:00,61,Online,12.33,1
T0000000162,10311,2025-01-01 14:36:00,63,Online,17.46,3
T0000000163,10311,2025-01-01 10:36:00,15,Store,12.17,2
T0000000164,10373,2025-01-01 09:02:00,69,Store,13.16,1
T0000000165,10535,2025-01-01 09:54:00,77,Store,38.14,5
T0000000166,10545,2025-01-01 08:17:00,71,Store,32.42,3
T0000000167,10552,2025-01-01 16:32:00,93,Store,61.59,6
T0000000168,10614,2025-01-01 15:09:00,79,Store,34.92,3
T0000000169,10614,2025-01-01 09:38:00,33,Online,54.84,7
T0000000170,10723,2025-01-01 11:14:00,20,Online,14.7,2
T0000000171,10809,2025-01-01 19:59:00,71,Store,22.86,2
T0000000172,10869,2025-01-01 14:12:00,102,Store,30.92,4
T0000000173,10988,2025-01-01 18:31:00,91,Store,58.98,7
T0000000174,10988,2025-01-01 19:31:00,48,Online,20.76,2
T0000000175,11022,2025-01-01 13:01:00,108,Store,17.07,1
T0000000176,11022,2025-01-01 20:47:00,109,Store,23.25,1
T0000000177,11053,2025-01-01 12:27:00,64,Store,15.29,1
T0000000178,11079,2025-01-01 13:12:00,73,Store,18.21,3
T0000000179,11137,2025-01-01 11:53:00,34,Store,15.05,1
T0000000180,11137,2025-01-01 09:06:00,25,Online,22.19,3
T0000000181,11205,2025-01-01 12:45:00,47,Store,80.42,8
T0000000182,11242,2025-01-01 10:40:00,78,Store,22.61,2
T0000000183,11289,2025-01-01 19:57:00,116,Store,54.1,6
T0000000184,11417,2025-01-01 11:56:00,59,Store,26.25,2
T0000000185,11452,2025-01-01 20:21:00,22,Store,13.27,2
T0000000186,11452,2025-01-01 10:40:00,23,Online,30.69,5
T0000000187,11453,2025-01-01 12:01:00,4,Online,6.81,2
T0000000188,11471,2025-01-01 09:42:00,37,Store,34.09,4
T0000000189,11517,2025-01-01 14:21:00,57,Store,35.37,4
T0000000190,11533,2025-01-01 08:00:00,45,Online,20.07,1
T0000000191,11653,2025-01-01 16:29:00,1,Store,21.52,2
T0000000192,11679,2025-01-01 18:49:00,37,Store,35.99,3
T0000000193,11837,2025-01-01 17:25:00,48,Online,6.48,1
T0000000194,11875,2025-01-01 15:54:00,11,Store,14.07,2
T0000000195,11889,2025-01-01 15:46:00,88,Store,20.8,3
T0000000196,11937,2025-01-01 11:57:00,73,Store,29.81,3
T0000000197,11937,2025-01-01 16:35:00,94,Online,8.79,1
T0000000198,11992,2025-01-01 11:29:00,70,Store,16.71,1
T0000000199,12025,2025-01-01 09:45:00,101,Store,27.7,3
T0000000200,12212,2025-01-01 17:14:00,28,Store,100.01,11
T0000000201,12213,2025-01-01 13:33:00,59,Store,12.96,1
T0000000202,12257,2025-01-01 15:03:00,72,Store,15.44,3
T0000000203,12301,2025-01-01 11:56:00,87,Store,30.87,4
T0000000204,12387,2025-01-01 16:59:00,2,Store,16.86,2
T0000000205,12507,2025-01-01 14:01:00,29,Store,25.6,4
T0000000206,12507,2025-01-01 10:12:00,99,Store,13.58,1
T0000000207,12514,2025-01-01 16:22:00,12,Online,9.72,2
T0000000208,12624,2025-01-01 12:11:00,116,Online,25.95,3
T0000000209,12625,2025-01-01 14:28:00,6,Online,35.18,5
T0000000210,12666,2025-01-01 15:50:00,118,Online,11.6,1
T0000000211,12666,2025-01-01 17:51:00,78,Store,17.09,2
T0000000212,12683,2025-01-01 13:25:00,23,Store,7.49,2
T0000000213,12722,2025-01-01 08:38:00,25,Store,13.5,1
T0000000214,12722,2025-01-01 20:10:00,32,Store,26.04,3
T0000000215,12845,2025-01-01 15:07:00,27,Store,34.7,3
T0000000216,12867,2025-01-01 19:08:00,77,Store,30.81,3
T0000000217,12946,2025-01-01 09:53:00,36,Store,12.78,1
T0000000218,12966,2025-01-01 14:40:00,32,Online,11.69,1
T0000000219,12999,2025-01-01 10:57:00,25,Store,10.0,1
T0000000220,13000,2025-01-01 19:26:00,91,Store,24.86,1
T0000000221,13242,2025-01-01 08:33:00,21,Store,25.58,2
T0000000222,13252,2025-01-01 16:43:00,47,Store,43.46,5
T0000000223,13260,2025-01-01 19:44:00,60,Store,18.6,2
T0000000224,13314,2025-01-01 11:55:00,22,Online,16.52,1
T0000000225,13318,2025-01-01 08:26:00,62,Store,15.83,1
T0000000226,13456,2025-01-01 19:59:00,57,Store,13.78,2
T0000000227,13496,2025-01-01 20:05:00,58,Store,12.41,1
T0000000228,13559,2025-01-01 12:42:00,62,Online,17.55,3
T0000000229,13559,2025-01-01 14:30:00,35,Store,27.84,3
T0000000230,13651,2025-01-01 14:49:00,5,Store,23.08,2
